sample;metabolite;derivative;isotopologue;isotopic_inchi;area;corrected_area;isotopologue_fraction;residuum;mean_enrichment
025_A8.cdf;Alanine;AccQ;3;/a(C3+1);27417.4;6963.479241;0.000541945;2.83E-19;0.00941886
026_A9.cdf;Alanine;AccQ;0;/a(C3+0);8798680.6;10319347.88;0.970383744;0;0.011115625
026_A9.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1601479.6;285317.5066;0.026829939;0;0.011115625
026_A9.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);204086.9;19588.5349;0.001842015;0;0.011115625
026_A9.cdf;Alanine;AccQ;3;/a(C3+1);27390.6;10041.98957;0.000944302;0;0.011115625
027_A10.cdf;Alanine;AccQ;0;/a(C3+0);26714465.3;31331080.41;0.969715742;0;0.010831016
027_A10.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);4897884;907677.9169;0.028093176;0;0.010831016
027_A10.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);633135.9;70220.67535;0.002173372;0;0.010831016
027_A10.cdf;Alanine;AccQ;3;/a(C3+1);59288.5;572.1873705;1.77E-05;0;0.010831016
028_QC_1.cdf;Alanine;AccQ;0;/a(C3+0);9019423.6;10577977;0.969347451;0;0.010959888
028_QC_1.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1663878.1;318790.7048;0.029213427;0;0.010959888
028_QC_1.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);201279.1;7105.429136;0.000651129;0;0.010959888
028_QC_1.cdf;Alanine;AccQ;3;/a(C3+1);25505.1;8598.952505;0.000787993;0;0.010959888
029_A11.cdf;Alanine;AccQ;0;/a(C3+0);5202355.7;6100811.949;0.959924272;-1.11E-06;0.015415109
029_A11.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1003544.4;235096.3647;0.03699093;3.28E-05;0.015415109
029_A11.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);117780.8;0;0;-0.000229374;0.015415109
029_A11.cdf;Alanine;AccQ;3;/a(C3+1);27534.3;19605.48039;0.003084799;6.92E-06;0.015415109
030_A12.cdf;Alanine;AccQ;0;/a(C3+0);1498608.2;1757322.032;0.947055306;-1.26E-16;0.024259075
030_A12.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);297184.1;77179.17586;0.041593371;3.14E-17;0.024259075
030_A12.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);40325.1;5325.682653;0.002870115;7.85E-17;0.024259075
030_A12.cdf;Alanine;AccQ;3;/a(C3+1);17301.1;15737.42719;0.008481208;-7.85E-17;0.024259075
031_A13.cdf;Alanine;AccQ;0;/a(C3+0);8671314.2;10170376.92;0.974793319;0;0.009265725
031_A13.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1543847.6;240839.3316;0.023083566;0;0.009265725
031_A13.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);194326.6;17274.88799;0.001655735;2.79E-18;0.009265725
031_A13.cdf;Alanine;AccQ;3;/a(C3+1);21917.8;4876.34308;0.00046738;0;0.009265725
032_A14.cdf;Alanine;AccQ;0;/a(C3+0);8849510.4;10379430.78;0.974939222;0;0.009569243
032_A14.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1571167.8;240706.5865;0.022609553;0;0.009569243
032_A14.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);194249.8;13366.32362;0.001255498;0;0.009569243
032_A14.cdf;Alanine;AccQ;3;/a(C3+1);28463.6;12729.9871;0.001195727;3.42E-19;0.009569243
033_A15.cdf;Alanine;AccQ;0;/a(C3+0);10133738.1;11885129.05;0.971970271;0;0.009874408
033_A15.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1845430.2;330064.782;0.026992821;-5.71E-17;0.009874408
033_A15.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);220825.8;5873.33691;0.000480324;4.76E-18;0.009874408
033_A15.cdf;Alanine;AccQ;3;/a(C3+1);25591.1;6805.850529;0.000556585;1.82E-17;0.009874408
034_A17.cdf;Alanine;AccQ;0;/a(C3+0);8481414.6;9947058.449;0.969385145;0;0.011152611
034_A17.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1559753.8;293969.1773;0.028648606;2.27E-17;0.011152611
034_A17.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);192435.8;11179.79446;0.001089521;0;0.011152611
034_A17.cdf;Alanine;AccQ;3;/a(C3+1);25196.8;8996.288161;0.000876728;-3.55E-19;0.011152611
035_A18.cdf;Alanine;AccQ;0;/a(C3+0);7412534.1;8693817.25;0.97291064;-1.13E-06;0.010401343
035_A18.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1334970.7;223683.2935;0.025032026;3.36E-05;0.010401343
035_A18.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);153928.1;0;0;-0.000234873;0.010401343
035_A18.cdf;Alanine;AccQ;3;/a(C3+1);29550.3;18384.10631;0.002057335;7.09E-06;0.010401343
036_A19.cdf;Alanine;AccQ;0;/a(C3+0);5253695;6160822.745;0.957441917;-4.20E-06;0.015723369
036_A19.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1032456.4;259008.7927;0.040252071;0.000124593;0.015723369
036_A19.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);117329.8;0;0;-0.000871117;0.015723369
036_A19.cdf;Alanine;AccQ;3;/a(C3+1);23967.5;14838.42589;0.002306012;2.63E-05;0.015723369
037_A20.cdf;Alanine;AccQ;0;/a(C3+0);9959411.9;11680990.5;0.973985253;0;0.009432999
037_A20.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1787056.6;293072.178;0.024436967;1.55E-16;0.009432999
037_A20.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);217243.8;10449.57829;0.000871308;-1.48E-16;0.009432999
037_A20.cdf;Alanine;AccQ;3;/a(C3+1);26790.9;8472.708657;0.000706472;-3.70E-17;0.009432999
038_QC_2.cdf;Alanine;AccQ;0;/a(C3+0);9036065.6;10597559.83;0.969981792;-3.18E-06;0.010673067
038_QC_2.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1665858.9;317033.7122;0.029017711;9.41E-05;0.010673067
038_QC_2.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);188145.5;0;0;-0.000658226;0.010673067
038_QC_2.cdf;Alanine;AccQ;3;/a(C3+1);26915.4;10930.95013;0.001000497;1.99E-05;0.010673067
039_A21.cdf;Alanine;AccQ;0;/a(C3+0);17044325.4;19992753.61;0.981960683;0;0.007348559
039_A21.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);2876984.7;287735.6227;0.014132374;-2.29E-17;0.007348559
039_A21.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);396336.6;77521.37602;0.003807527;0;0.007348559
039_A21.cdf;Alanine;AccQ;3;/a(C3+1);39052;2024.126091;9.94E-05;5.36E-18;0.007348559
040_A22.cdf;Alanine;AccQ;0;/a(C3+0);15658787;18368455.3;0.987084965;0;0.005670383
040_A22.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);2565475.2;173597.909;0.009328813;0;0.005670383
040_A22.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);341249.7;57246.75242;0.003076329;-3.13E-18;0.005670383
040_A22.cdf;Alanine;AccQ;3;/a(C3+1);39614;9488.487968;0.000509893;2.35E-18;0.005670383
041_A23.cdf;Alanine;AccQ;0;/a(C3+0);9745045.5;11429368.63;0.971776272;0;0.010568567
041_A23.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1765482.9;306574.3845;0.026066332;0;0.010568567
041_A23.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);214813.7;9795.052111;0.000832819;-2.48E-18;0.010568567
041_A23.cdf;Alanine;AccQ;3;/a(C3+1);32680.3;15578.77103;0.001324577;-3.09E-19;0.010568567
042_A24.cdf;Alanine;AccQ;0;/a(C3+0);9485393.6;11124653.03;0.971554226;-1.24E-06;0.009900736
042_A24.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);1735854.4;318521.2594;0.027817558;3.67E-05;0.009900736
042_A24.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);200252.1;0;0;-0.000256297;0.009900736
042_A24.cdf;Alanine;AccQ;3;/a(C3+1);24252.4;7193.311892;0.000628217;7.74E-06;0.009900736
043_A25.cdf;Alanine;AccQ;0;/a(C3+0);12550556.6;14721120.41;0.978802617;0;0.008557125
043_A25.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);2161041.2;262010.6904;0.017421008;0;0.008557125
043_A25.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);288986.3;46304.31839;0.003078759;3.87E-18;0.008557125
043_A25.cdf;Alanine;AccQ;3;/a(C3+1);35923.2;10492.09663;0.000697616;9.19E-18;0.008557125
044_A26.cdf;Alanine;AccQ;0;/a(C3+0);12163160.8;14266636.43;0.980731306;0;0.007163372
044_A26.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);2101540.7;263238.6767;0.018095815;0;0.007163372
044_A26.cdf;Alanine;AccQ;2;/a(C2+1),(C1+0);244477.9;1808.75039;0.000124339;0;0.007163372
044_A26.cdf;Alanine;AccQ;3;/a(C3+1);34410.6;15253.05506;0.001048541;1.00E-18;0.007163372
045_A27.cdf;Alanine;AccQ;0;/a(C3+0);12951756.4;15192070.92;0.979776334;-5.44E-08;0.008450765
045_A27.cdf;Alanine;AccQ;1;/a(C1+1),(C2+0);2199674.4;234058.3912;0.015095037;-5.31E-07;0.008450765
