Compound;Time;Labeling;Treatment;N;mean;sd;se
85;Aspartic acid;30min;L;C;5;18368028;4635917.89951785;2073245.51228599
86;Aspartic acid;30min;L;Fe;5;18384766;3767029.05917648;1684666.60990714
87;Aspartic acid;30min;L;P;5;23440682;6650487.59579476;2974188.46954325
88;Aspartic acid;30min;U;C;5;25051652;3137919.04390792;1403320.05801385
89;Aspartic acid;30min;U;Fe;5;25683657.2;11032995.2610929;4934105.47984737
90;Aspartic acid;30min;U;P;5;26626202;4757457.60433238;2127599.7206721
91;Aspartic acid;60min;L;C;5;18561384;4117385.22364376;1841350.64992413
92;Aspartic acid;60min;L;Fe;5;16950712;3082206.89336715;1378404.82685748
93;Aspartic acid;60min;L;P;5;22551632;5518751.15476047;2468060.54658997
94;Aspartic acid;60min;U;C;5;21365288;5400410.19380195;2415136.85994479
95;Aspartic acid;60min;U;Fe;5;24927252;3840516.21032512;1717531.06299537
96;Aspartic acid;60min;U;P;5;31150212;4412209.14058593;1973199.91385921
97;Citrulline;120min;L;C;5;1777711.4;614020.761382952;274598.432409692
98;Citrulline;120min;L;Fe;5;778986.4;348994.593931339;156075.127162082
99;Citrulline;120min;L;P;5;3487735.6;1488544.8637071;665697.500561449
100;Citrulline;120min;U;C;5;1658447.4;594947.495731178;266068.608699636
101;Citrulline;120min;U;Fe;5;370567.2;142480.545163892;63719.2368915385
102;Citrulline;120min;U;P;5;3590213.2;1158591.9870022;518138.088224693
103;Citrulline;15min;L;C;5;1661327.6;415330.997942966;185741.668912659
104;Citrulline;15min;L;Fe;4;643186.5;271721.31686037;135860.658430185
105;Citrulline;15min;L;P;5;4015525.8;644144.136761874;288070.015421494
106;Citrulline;15min;U;C;5;1594692.2;794661.713632726;355383.522159849
107;Citrulline;15min;U;Fe;5;474674.4;286085.63500515;127941.385451542
108;Citrulline;15min;U;P;5;3883496.4;1382270.45227347;618170.138914571
109;Citrulline;30min;L;C;5;2093140.8;321446.620209639;143755.298785262
110;Citrulline;30min;L;Fe;5;1011749;250359.207413069;111964.041313718
