metabolite	derivative	isotopologue	sample	area
Citrate	2NPH	6	019_O2.cdf	0
Oxaloacetate	2NPH	0	019_O2.cdf	3903.77693282636
Oxaloacetate	2NPH	1	019_O2.cdf	707.788339670469
Oxaloacetate	2NPH	2	019_O2.cdf	123.764258555133
Oxaloacetate	2NPH	3	019_O2.cdf	0
Oxaloacetate	2NPH	4	019_O2.cdf	0
Oxoglutarate	3NPH	0	019_O2.cdf	16581168.6692015
Oxoglutarate	3NPH	1	019_O2.cdf	4869594.626109
Oxoglutarate	3NPH	2	019_O2.cdf	876196.356147022
Oxoglutarate	3NPH	3	019_O2.cdf	122295.348542459
Oxoglutarate	3NPH	4	019_O2.cdf	4994.29657794677
Oxoglutarate	3NPH	5	019_O2.cdf	0
Aconitate	3NPH	0	019_O2.cdf	7253.89733840304
Aconitate	3NPH	1	019_O2.cdf	2074.60076045627
Aconitate	3NPH	2	019_O2.cdf	482.34474017744
Aconitate	3NPH	3	019_O2.cdf	0
Aconitate	3NPH	4	019_O2.cdf	0
Aconitate	3NPH	5	019_O2.cdf	120.145754119138
Aconitate	3NPH	6	019_O2.cdf	0
Glycerate	NPH	0	019_O2.cdf	161166.774397972
Glycerate	NPH	1	019_O2.cdf	15557.7883396705
Glycerate	NPH	2	019_O2.cdf	2491.05830164766
Glycerate	NPH	3	019_O2.cdf	0
Glycolate	NPH	0	019_O2.cdf	25716.7870722433
Glycolate	NPH	1	019_O2.cdf	0
Glycolate	NPH	2	019_O2.cdf	0
Hydroxyglutarate	2NPH	0	019_O2.cdf	34362.8897338403
Hydroxyglutarate	2NPH	1	019_O2.cdf	7557.55386565273
Hydroxyglutarate	2NPH	2	019_O2.cdf	626.273764258555
Hydroxyglutarate	2NPH	3	019_O2.cdf	0
Hydroxyglutarate	2NPH	4	019_O2.cdf	0
Hydroxyglutarate	2NPH	5	019_O2.cdf	0
Oxalate	2NPH	0	019_O2.cdf	4155937.0278834
Oxalate	2NPH	1	019_O2.cdf	663921.818757921
Oxalate	2NPH	2	019_O2.cdf	84453.6628643853
Itaconate	2NPH	0	019_O2.cdf	2689.32192648923
Itaconate	2NPH	1	019_O2.cdf	317.230671736375
