metabolite	derivative	isotopologue	sample	area
Tyrosine	AccQ	2	018_A1.cdf	13921.1111111111
Tyrosine	AccQ	3	018_A1.cdf	2688.82962962963
Tyrosine	AccQ	4	018_A1.cdf	0
Tyrosine	AccQ	5	018_A1.cdf	0
Tyrosine	AccQ	6	018_A1.cdf	0
Tyrosine	AccQ	7	018_A1.cdf	0
Tyrosine	AccQ	8	018_A1.cdf	0
Tyrosine	AccQ	9	018_A1.cdf	0
Valine	AccQ	0	018_A1.cdf	3383310.72592593
Valine	AccQ	1	018_A1.cdf	762283.822222222
Valine	AccQ	2	018_A1.cdf	112002.222222222
Valine	AccQ	3	018_A1.cdf	13745.4962962963
Valine	AccQ	4	018_A1.cdf	0
Valine	AccQ	5	018_A1.cdf	0
GABA	AccQ	0	018_A1.cdf	3054646.33333333
GABA	AccQ	1	018_A1.cdf	647411.807407407
GABA	AccQ	2	018_A1.cdf	86679.2444444444
GABA	AccQ	3	018_A1.cdf	12080.1333333333
GABA	AccQ	4	018_A1.cdf	0
Glutamate	AccQ	0	018_A1.cdf	2673761.45925926
Glutamate	AccQ	1	018_A1.cdf	544585.533333333
Glutamate	AccQ	2	018_A1.cdf	91353.5481481481
Glutamate	AccQ	3	018_A1.cdf	11798.6444444444
Glutamate	AccQ	4	018_A1.cdf	471.496296296296
Glutamate	AccQ	5	018_A1.cdf	0
Ornithine	2AccQ	0	018_A1.cdf	15961.4296296296
Ornithine	2AccQ	1	018_A1.cdf	6555.42962962963
Ornithine	2AccQ	2	018_A1.cdf	1698.62222222222
Ornithine	2AccQ	3	018_A1.cdf	179.948148148148
Ornithine	2AccQ	4	018_A1.cdf	0
Ornithine	2AccQ	5	018_A1.cdf	0
Alanine	AccQ	0	019_A2.cdf	838503.034533431
Alanine	AccQ	1	019_A2.cdf	149073.122703894
Alanine	AccQ	2	019_A2.cdf	18286.5686994857
Alanine	AccQ	3	019_A2.cdf	1837.25936811168
Arginine	AccQ	0	019_A2.cdf	204892.953710507
Arginine	AccQ	1	019_A2.cdf	46391.1829537105
Arginine	AccQ	2	019_A2.cdf	6963.33578251286
Arginine	AccQ	3	019_A2.cdf	548.383541513593
Arginine	AccQ	4	019_A2.cdf	0
Arginine	AccQ	5	019_A2.cdf	0
Arginine	AccQ	6	019_A2.cdf	0
Asparagine	AccQ	0	019_A2.cdf	951306.899338722
Asparagine	AccQ	1	019_A2.cdf	161161.351947098
Asparagine	AccQ	2	019_A2.cdf	33155.7016899339
Asparagine	AccQ	3	019_A2.cdf	4981.77810433505
Asparagine	AccQ	4	019_A2.cdf	103.651726671565
Aspartate	AccQ	0	019_A2.cdf	1766669.70609846
Aspartate	AccQ	1	019_A2.cdf	295998.861131521
Aspartate	AccQ	2	019_A2.cdf	52143.4386480529
Aspartate	AccQ	3	019_A2.cdf	7260.55106539309
Aspartate	AccQ	4	019_A2.cdf	0
Citrulline	AccQ	0	019_A2.cdf	133913.886847906
Citrulline	AccQ	1	019_A2.cdf	28039.3460690669
Citrulline	AccQ	2	019_A2.cdf	5413.21822189567
Citrulline	AccQ	3	019_A2.cdf	1515.13592946363
Citrulline	AccQ	4	019_A2.cdf	0
Citrulline	AccQ	5	019_A2.cdf	0
Citrulline	AccQ	6	019_A2.cdf	0
Glutamine	AccQ	0	019_A2.cdf	3278232.43938281
Glutamine	AccQ	1	019_A2.cdf	806684.268919912
Glutamine	AccQ	2	019_A2.cdf	116174.665686995
Glutamine	AccQ	3	019_A2.cdf	15131.4033798677
Glutamine	AccQ	4	019_A2.cdf	913.152094048494
Glutamine	AccQ	5	019_A2.cdf	0
Glycine	AccQ	0	019_A2.cdf	282266.936076414
Glycine	AccQ	1	019_A2.cdf	49785.5767817781
Glycine	AccQ	2	019_A2.cdf	5286.95077149155
Histidine	AccQ	0	019_A2.cdf	47204.2909625276
Histidine	AccQ	1	019_A2.cdf	8443.76193975018
Histidine	AccQ	2	019_A2.cdf	281.770756796473
Histidine	AccQ	3	019_A2.cdf	0
Histidine	AccQ	4	019_A2.cdf	0
Histidine	AccQ	5	019_A2.cdf	0
Histidine	AccQ	6	019_A2.cdf	0
Isoleucine	AccQ	0	019_A2.cdf	3933958.59662013
Isoleucine	AccQ	1	019_A2.cdf	863410.337986774
Isoleucine	AccQ	2	019_A2.cdf	131657.193240265
Isoleucine	AccQ	3	019_A2.cdf	15560.9992652461
Isoleucine	AccQ	4	019_A2.cdf	479.735488611315
Isoleucine	AccQ	5	019_A2.cdf	0
Isoleucine	AccQ	6	019_A2.cdf	0
Leucine	AccQ	0	019_A2.cdf	1796316.85525349
Leucine	AccQ	1	019_A2.cdf	323963.732549596
Leucine	AccQ	2	019_A2.cdf	48712.4467303453
Leucine	AccQ	3	019_A2.cdf	5992.56429096253
Leucine	AccQ	4	019_A2.cdf	0
Leucine	AccQ	5	019_A2.cdf	0
Leucine	AccQ	6	019_A2.cdf	0
Lysine	AccQ	0	019_A2.cdf	208809.772226304
Lysine	AccQ	1	019_A2.cdf	70664.3056576047
Lysine	AccQ	2	019_A2.cdf	11849.2285084497
Lysine	AccQ	3	019_A2.cdf	1550
Lysine	AccQ	4	019_A2.cdf	0
Lysine	AccQ	5	019_A2.cdf	0
Lysine	AccQ	6	019_A2.cdf	0
Methionine	AccQ	0	019_A2.cdf	257159.853049229
Methionine	AccQ	1	019_A2.cdf	55371.4254224835
Methionine	AccQ	2	019_A2.cdf	13438.3100661278
Methionine	AccQ	3	019_A2.cdf	0
Methionine	AccQ	4	019_A2.cdf	0
Methionine	AccQ	5	019_A2.cdf	0
Norvaline	AccQ	0	019_A2.cdf	239909.052167524
Norvaline	AccQ	1	019_A2.cdf	52785.4665686995
Norvaline	AccQ	2	019_A2.cdf	7665.51800146951
Norvaline	AccQ	3	019_A2.cdf	1607.66348273328
Norvaline	AccQ	4	019_A2.cdf	0
Norvaline	AccQ	5	019_A2.cdf	0
Phenylalanine	AccQ	0	019_A2.cdf	1424899.87509184
Phenylalanine	AccQ	1	019_A2.cdf	309073.365172667
Phenylalanine	AccQ	2	019_A2.cdf	50840.5216752388
Phenylalanine	AccQ	3	019_A2.cdf	6761.74871418075
Phenylalanine	AccQ	4	019_A2.cdf	0
Phenylalanine	AccQ	5	019_A2.cdf	0
Phenylalanine	AccQ	6	019_A2.cdf	0
Phenylalanine	AccQ	7	019_A2.cdf	0
Phenylalanine	AccQ	8	019_A2.cdf	0
Phenylalanine	AccQ	9	019_A2.cdf	0
Proline	AccQ	0	019_A2.cdf	873342.740631888
Proline	AccQ	1	019_A2.cdf	163077.038941954
Proline	AccQ	2	019_A2.cdf	24002.4246877296
Proline	AccQ	3	019_A2.cdf	3513.26230712711
Proline	AccQ	4	019_A2.cdf	0
Proline	AccQ	5	019_A2.cdf	0
Serine	AccQ	0	019_A2.cdf	1055517.9426892
Serine	AccQ	1	019_A2.cdf	170835.437178545
Serine	AccQ	2	019_A2.cdf	24583.5709037472
Serine	AccQ	3	019_A2.cdf	1895.01102130786
Threonine	AccQ	0	019_A2.cdf	1635619.92652461
Threonine	AccQ	1	019_A2.cdf	274005.356355621
Threonine	AccQ	2	019_A2.cdf	42832.7332843497
Threonine	AccQ	3	019_A2.cdf	5191.68993387215
Threonine	AccQ	4	019_A2.cdf	0
Tryptophan	AccQ	0	019_A2.cdf	264162.255694342
Tryptophan	AccQ	1	019_A2.cdf	75817.1638501102
Tryptophan	AccQ	2	019_A2.cdf	11552.6230712711
Tryptophan	AccQ	3	019_A2.cdf	2173.71785451874
Tryptophan	AccQ	4	019_A2.cdf	0
Tryptophan	AccQ	5	019_A2.cdf	0
Tryptophan	AccQ	6	019_A2.cdf	0
Tryptophan	AccQ	7	019_A2.cdf	0
Tryptophan	AccQ	8	019_A2.cdf	0
Tryptophan	AccQ	9	019_A2.cdf	0
Tryptophan	AccQ	10	019_A2.cdf	0
Tryptophan	AccQ	11	019_A2.cdf	0
Tyrosine	AccQ	0	019_A2.cdf	320787.847171198
Tyrosine	AccQ	1	019_A2.cdf	84579.1844232182
Tyrosine	AccQ	2	019_A2.cdf	13545.268185158
Tyrosine	AccQ	3	019_A2.cdf	2427.72961058046
Tyrosine	AccQ	4	019_A2.cdf	0
Tyrosine	AccQ	5	019_A2.cdf	0
Tyrosine	AccQ	6	019_A2.cdf	0
Tyrosine	AccQ	7	019_A2.cdf	0
Tyrosine	AccQ	8	019_A2.cdf	0
Tyrosine	AccQ	9	019_A2.cdf	0
Valine	AccQ	0	019_A2.cdf	2066825.58412932
Valine	AccQ	1	019_A2.cdf	399979.941219691
Valine	AccQ	2	019_A2.cdf	58158.7656135195
Valine	AccQ	3	019_A2.cdf	6959.85304922851
Valine	AccQ	4	019_A2.cdf	0
Valine	AccQ	5	019_A2.cdf	0
GABA	AccQ	0	019_A2.cdf	3826634.01175606
GABA	AccQ	1	019_A2.cdf	941523.063923586
GABA	AccQ	2	019_A2.cdf	120279.515062454
GABA	AccQ	3	019_A2.cdf	14914.2174871418
GABA	AccQ	4	019_A2.cdf	0
Glutamate	AccQ	0	019_A2.cdf	2590465.61351947
Glutamate	AccQ	1	019_A2.cdf	531186.08376194
Glutamate	AccQ	2	019_A2.cdf	90162.0573108009
Glutamate	AccQ	3	019_A2.cdf	11525.7090374724
Glutamate	AccQ	4	019_A2.cdf	224.922850844967
Glutamate	AccQ	5	019_A2.cdf	0
Ornithine	2AccQ	0	019_A2.cdf	11308.8978692138
Ornithine	2AccQ	1	019_A2.cdf	4620.4628949302
Ornithine	2AccQ	2	019_A2.cdf	662.946362968406
Ornithine	2AccQ	3	019_A2.cdf	0
Ornithine	2AccQ	4	019_A2.cdf	0
Ornithine	2AccQ	5	019_A2.cdf	0
Alanine	AccQ	0	020_A3.cdf	874646.133700896
Alanine	AccQ	1	020_A3.cdf	148739.813921433
Alanine	AccQ	2	020_A3.cdf	17138.4838042729
Alanine	AccQ	3	020_A3.cdf	1951.04755341144
Arginine	AccQ	0	020_A3.cdf	204340.578911096
Arginine	AccQ	1	020_A3.cdf	47534.4727773949
Arginine	AccQ	2	020_A3.cdf	6812.39145416954
Arginine	AccQ	3	020_A3.cdf	392.915230875258
Arginine	AccQ	4	020_A3.cdf	0
Arginine	AccQ	5	020_A3.cdf	0
Arginine	AccQ	6	020_A3.cdf	0
Asparagine	AccQ	0	020_A3.cdf	1155474.4658856
Asparagine	AccQ	1	020_A3.cdf	194213.211578222
Asparagine	AccQ	2	020_A3.cdf	32000.9717436251
Asparagine	AccQ	3	020_A3.cdf	3451.82632667126
Asparagine	AccQ	4	020_A3.cdf	99.7587870434183
Aspartate	AccQ	0	020_A3.cdf	1749959.26946933
Aspartate	AccQ	1	020_A3.cdf	299464.527911785
Aspartate	AccQ	2	020_A3.cdf	52518.566505858
Aspartate	AccQ	3	020_A3.cdf	6525.03101309442
Aspartate	AccQ	4	020_A3.cdf	0
Citrulline	AccQ	0	020_A3.cdf	99616.3473466575
Citrulline	AccQ	1	020_A3.cdf	21299.9586492074
Citrulline	AccQ	2	020_A3.cdf	3911.57133011716
Citrulline	AccQ	3	020_A3.cdf	491.254307374225
Citrulline	AccQ	4	020_A3.cdf	0
Citrulline	AccQ	5	020_A3.cdf	0
Citrulline	AccQ	6	020_A3.cdf	0
Glutamine	AccQ	0	020_A3.cdf	2698261.095796
