metabolite;Time;Labeling;Treatment;N;mean;sd;se
82;Glycerate;30;U;C;5;1.1490633087519e-07;0;0
83;Glycerate;30;U;Fe;5;1.1490633087519e-07;0;0
84;Glycerate;30;U;P;5;0.000294652729395714;0.000658606594317785;0.000294537823064839
85;Glycerate;60;L;C;5;1.1490633087519e-07;0;0
86;Glycerate;60;L;Fe;5;1.1490633087519e-07;0;0
87;Glycerate;60;L;P;5;0.000114664002874219;0.000256139566632102;0.000114549096543343
88;Glycerate;60;U;C;5;4.08091660869494e-05;9.09951311086158e-05;4.06942597560742e-05
89;Glycerate;60;U;Fe;5;1.1490633087519e-07;0;0
90;Glycerate;60;U;P;5;0.00125589087398792;0.00201832870231191;0.000902624035861671
91;Glycerate;120;L;C;5;1.1490633087519e-07;0;0
92;Glycerate;120;L;Fe;5;0.000557939926721509;0.00096039916859553;0.000429503565302777
93;Glycerate;120;L;P;5;0.00127572676929929;0.00126280952660581;0.000564745588824985
94;Glycerate;120;U;C;5;1.1490633087519e-07;0;0
95;Glycerate;120;U;Fe;5;1.1490633087519e-07;0;0
96;Glycerate;120;U;P;5;1.44623318917538e-05;3.20818188562425e-05;1.43474255608786e-05
97;Glycolate;15;L;C;5;0.00156804311739935;0.00233287147962245;0.00104329184224126
98;Glycolate;15;L;Fe;4;0.00387249847474907;0.00183376403205929;0.000916882016029647
99;Glycolate;15;L;P;5;0.00236309860476213;0.00306036960090564;0.00136863889277978
100;Glycolate;15;U;C;5;0.000662554885337307;0.00105829444227483;0.000473283662627349
101;Glycolate;15;U;Fe;5;0.00570942633635921;0.00702155646515818;0.00314013551278936
102;Glycolate;15;U;P;4;0.00258281900778339;0.00361032377713698;0.00180516188856849
103;Glycolate;30;L;C;4;0.0019223061366428;0.00222065860215327;0.00111032930107663
104;Glycolate;30;L;Fe;5;0.00572407277417751;0.00551384973414174;0.00246586856465202
105;Glycolate;30;L;P;5;0.00134804390450705;0.00130049670137658;0.000581599805758454
106;Glycolate;30;U;C;5;0.00297599539255194;0.00436314594830139;0.00195125818723094
107;Glycolate;30;U;Fe;5;0.00352638480671243;0.00183411860089432;0.000820242774079303
108;Glycolate;30;U;P;5;0.00230173489123896;0.00297869192472086;0.00133211152554111
109;Glycolate;60;L;C;5;0.000682132025999524;0.000574307705833401;0.000256838214049087
110;Glycolate;60;L;Fe;5;0.00492892656758603;0.00431024784977125;0.00192760143839216
111;Glycolate;60;L;P;5;0.00144038326649603;0.00176104752272979;0.000787564394486284
112;Glycolate;60;U;C;5;0.000699576613836438;0.00156404392564051;0.000699461707505563
113;Glycolate;60;U;Fe;5;0.00199499504480528;0.00294629720420072;0.00131762416610208
114;Glycolate;60;U;P;5;0.000557422902727705;0.000703981540971325;0.000314830116103387
115;Glycolate;120;L;C;5;0.00138559451469656;0.00132981255262109;0.000594710252998654
116;Glycolate;120;L;Fe;5;0.00562670047796155;0.00784436327474852;0.00350810590450811
117;Glycolate;120;L;P;5;0.000261033125468128;0.000583430874559084;0.000260918219137253
118;Glycolate;120;U;C;5;0.000875025429760626;0.000848403303925124;0.000379417491982398
119;Glycolate;120;U;Fe;5;0.000482890052269473;0.000691578220815743;0.000309283182700472
120;Glycolate;120;U;P;5;0.000497978666642718;0.00111325721159094;0.000497863760311843
121;Hydroxyglutarate;15;L;C;5;0.00018244306428622;0.00040769815540047;0.000182328157955345
122;Hydroxyglutarate;15;L;Fe;4;0.0055808979728973;0.0047367186144686;0.0023683593072343
123;Hydroxyglutarate;15;L;P;5;0.00389903859795078;0.0022902661264034;0.00102423814904062
124;Hydroxyglutarate;15;U;C;5;0.00024524613458488;0.000494826780317669;0.000221293263575532
125;Hydroxyglutarate;15;U;Fe;5;0.00075725397738982;0.000789310506330439;0.000352990389501928
126;Hydroxyglutarate;15;U;P;4;0.00150855996102004;0.0018173038726624;0.000908651936331202
127;Hydroxyglutarate;30;L;C;4;1.1490633087519e-07;0;0
128;Hydroxyglutarate;30;L;Fe;5;0.00855148914555984;0.00223347044960443;0.000998838350210504
129;Hydroxyglutarate;30;L;P;5;0.00212298703677057;0.00210203553203003;0.000940058868147819
130;Hydroxyglutarate;30;U;C;5;0.000393656936291758;0.000879986730995793;0.000393542029960883
131;Hydroxyglutarate;30;U;Fe;5;0.00083436602470466;0.0011696152350033;0.000523067834597352
132;Hydroxyglutarate;30;U;P;5;0.00195734820476705;0.00207577897349323;0.000928316578199117
133;Hydroxyglutarate;60;L;C;5;0.00154227397684425;0.00265147489281477;0.00118577562019356
134;Hydroxyglutarate;60;L;Fe;5;0.00828049809391915;0.00260141235662577;0.00116338697338463
135;Hydroxyglutarate;60;L;P;5;0.00607597155330151;0.0016642774157202;0.000744287486993607
136;Hydroxyglutarate;60;U;C;5;0.000384824334176549;0.000687515431728672;0.000307466248185085
137;Hydroxyglutarate;60;U;Fe;5;0.00125110976351763;0.00279730954017223;0.00125099485718675
138;Hydroxyglutarate;60;U;P;5;7.16966832645936e-05;0.000160061719174021;7.15817769337184e-05
139;Hydroxyglutarate;120;L;C;5;0.0033193089634015;0.00200850126639887;0.000898229072912458
140;Hydroxyglutarate;120;L;Fe;5;0.00670503324225233;0.00660336421603704;0.00295311425344969
141;Hydroxyglutarate;120;L;P;5;0.00664901327608266;0.00432492711125191;0.00193416620369821
142;Hydroxyglutarate;120;U;C;5;0.00044935947782585;0.000740629277644239;0.000331219482187817
143;Hydroxyglutarate;120;U;Fe;5;0.00103501126522204;0.0015112210158402;0.000675838584088994
144;Hydroxyglutarate;120;U;P;5;0.000365454673543411;0.000604839771094681;0.000270492568732624
