Aconitate.Df;Aconitate.Sum.Sq;Aconitate.Mean.Sq;Aconitate.F.value;Aconitate.Pr..F.;Citrate.Df;Citrate.Sum.Sq;Citrate.Mean.Sq;Citrate.F.value;Citrate.Pr..F.;Fumarate.Df;Fumarate.Sum.Sq;Fumarate.Mean.Sq;Fumarate.F.value;Fumarate.Pr..F.;Glycerate.Df;Glycerate.Sum.Sq;Glycerate.Mean.Sq;Glycerate.F.value;Glycerate.Pr..F.;Glycolate.Df;Glycolate.Sum.Sq;Glycolate.Mean.Sq;Glycolate.F.value;Glycolate.Pr..F.;Hydroxyglutarate.Df;Hydroxyglutarate.Sum.Sq;Hydroxyglutarate.Mean.Sq;Hydroxyglutarate.F.value;Hydroxyglutarate.Pr..F.;Isocitrate.Df;Isocitrate.Sum.Sq;Isocitrate.Mean.Sq;Isocitrate.F.value;Isocitrate.Pr..F.;Itaconate.Df;Itaconate.Sum.Sq;Itaconate.Mean.Sq;Itaconate.F.value;Itaconate.Pr..F.;Lactate.Df;Lactate.Sum.Sq;Lactate.Mean.Sq;Lactate.F.value;Lactate.Pr..F.;Malate.Df;Malate.Sum.Sq;Malate.Mean.Sq;Malate.F.value;Malate.Pr..F.;Oxalate.Df;Oxalate.Sum.Sq;Oxalate.Mean.Sq;Oxalate.F.value;Oxalate.Pr..F.;Oxaloacetate.Df;Oxaloacetate.Sum.Sq;Oxaloacetate.Mean.Sq;Oxaloacetate.F.value;Oxaloacetate.Pr..F.;Oxoglutarate.Df;Oxoglutarate.Sum.Sq;Oxoglutarate.Mean.Sq;Oxoglutarate.F.value;Oxoglutarate.Pr..F.;Pyruvate.Df;Pyruvate.Sum.Sq;Pyruvate.Mean.Sq;Pyruvate.F.value;Pyruvate.Pr..F.;Succinate.Df;Succinate.Sum.Sq;Succinate.Mean.Sq;Succinate.F.value;Succinate.Pr..F.
Labeling;1;0.00589871046585062;0.00589871046585062;32.3326606929158;1.48907653822255e-07;1;0.00138957295946244;0.00138957295946244;85.9673792116878;7.10244641125851e-15;1;3.19129791040824e-09;3.19129791040824e-09;1.7166562653215;0.193350901549356;1;4.51397170163045e-07;4.51397170163045e-07;1.19156686188075;0.277833639683178;1;4.544199247803e-06;4.544199247803e-06;1.58758364817133;0.210824314346797;1;0.000370524671570521;0.000370524671570521;65.9446080896628;1.89610851378817e-12;1;0.000206072167029827;0.000206072167029827;14.6678240847345;0.000232559439349554;1;8.18538847360221e-05;8.18538847360221e-05;0.135018942766054;0.714118822471555;1;0.000944841977700839;0.000944841977700839;0.987243357990503;0.32299525870113;1;4.23170588904356e-06;4.23170588904356e-06;0.599054297872732;0.44090220910623;1;2.63706632881509e-05;2.63706632881509e-05;19.3874183061337;2.84771844308194e-05;1;0.0211845501582943;0.0211845501582943;17.6184420777598;6.17220711409576e-05;1;2.69137358381308e-05;2.69137358381308e-05;15.851937034012;0.000135785249669293;1;7.31574695876693e-06;7.31574695876693e-06;12.6453125062721;0.000594385740092437;1;3.82504465446514e-08;3.82504465446514e-08;10.0732141755473;0.00203989651519007
Treatment;2;0.00757137783076829;0.00378568891538415;20.7505345276168;3.5376134126844e-08;2;0.00080576679725028;0.00040288339862514;24.9248013008973;2.15071026815763e-09;2;8.79520187876549e-09;4.39760093938274e-09;2.36554825557147;0.0995252405121075;2;4.6860766391995e-06;2.34303831959975e-06;6.18498963284018;0.00300691747633162;2;1.85945024072473e-05;9.29725120362363e-06;3.24813309868625;0.0432953930223071;2;0.000152917444148922;7.64587220744609e-05;13.6078400417046;6.55035950928138e-06;2;0.00102188774572308;0.000510943872861542;36.3680110338301;2.14570865310926e-12;2;0.252518115579292;0.126259057789646;208.265796453933;4.47713471977524e-35;2;0.00195795292468785;0.000978976462343923;1.02290968531046;0.363556341337043;2;0.000825564278528632;0.000412782139264316;58.4348064575155;3.66270969325248e-17;2;1.12073170175636e-05;5.60365850878178e-06;4.11974740139711;0.0193056102774978;2;0.026746443125453;0.0133732215627265;11.122035999603;4.66866202134464e-05;2;9.44966717203278e-05;4.72483358601639e-05;27.8288250104629;3.37092716647835e-10;2;4.747275903519e-06;2.3736379517595e-06;4.10284743935505;0.0196077103202154;2;3.0660929883156e-09;1.5330464941578e-09;0.403726154116827;0.668991716568505
Time;3;0.004591474353795;0.001530491451265;8.38909810434706;5.4097067494538e-05;3;9.31228018348109e-05;3.1040933944937e-05;1.92037972627337;0.131663037368672;3;3.92111466436359e-09;1.30703822145453e-09;0.703079253289631;0.552556970687688;3;6.69549639762589e-07;2.23183213254196e-07;0.589143527297057;0.623633449054737;3;1.09909453034351e-05;3.66364843447835e-06;1.27995011443179;0.285897003244212;3;1.40407334572954e-05;4.68024448576514e-06;0.832972571217421;0.479079382990524;3;7.69353349876217e-05;2.56451116625406e-05;1.8253701696895;0.14793574712698;3;0.00918205478521197;0.00306068492840399;5.0486356818107;0.00276414820926188;3;0.00276576311518226;0.000921921038394087;0.963293802801859;0.413542926616087;3;8.60175156700352e-05;2.86725052233451e-05;4.05897478113853;0.00929166528568547;3;1.30512069076952e-05;4.35040230256508e-06;3.19836737962121;0.0269884097666621;3;0.0108971129542888;0.00363237098476294;3.0209146440112;0.0336510186567101;3;0.000131922490879124;4.39741636263747e-05;25.9003683888815;2.8813440385027e-12;3;5.29969946110481e-07;1.76656648703494e-07;0.305352077068412;0.821456551139677;3;1.97047521325337e-08;6.56825071084456e-09;1.72974179770143;0.166278590777499
Labeling:Treatment;2;0.000853423999198062;0.000426711999599031;2.33894075264492;0.102078041441393;2;0.000840971127964342;0.000420485563982171;26.0137776039337;1.06416176638889e-09;2;6.54801067657225e-09;3.27400533828612e-09;1.76114607111247;0.17753029202074;2;2.49061089159043e-07;1.24530544579522e-07;0.3287270723459;0.720672432932892;2;5.82189500382944e-07;2.91094750191472e-07;0.101698283959694;0.903402366944083;2;0.000121159785512097;6.05798927560484e-05;10.7817848376422;6.14883901290156e-05;2;0.000142622782580154;7.13113912900769e-05;5.07580891566554;0.00808762617324574;2;0.000629507254971817;0.000314753627485909;0.51918979962872;0.596716757067125;2;0.00192840455870629;0.000964202279353145;1.0074724858934;0.369090420532815;2;1.22976206728481e-05;6.14881033642405e-06;0.870445951448587;0.422148065260566;2;1.09795407899601e-05;5.48977039498006e-06;4.03601812700443;0.0208504241930782;2;0.0132755804515312;0.00663779022576562;5.52041566816955;0.00542599973144634;2;2.12448968875195e-05;1.06224484437597e-05;6.25652213019611;0.00282306560780672;2;4.21678164529843e-06;2.10839082264921e-06;3.64436618543858;0.029938670252312;2;1.76092590512189e-09;8.80462952560946e-10;0.231868976599471;0.793507099454154
Labeling:Time;3;0.00169278976882317;0.000564263256274391;3.09290183205641;0.0307695028155434;3;9.87341429140104e-05;3.29113809713368e-05;2.0360968807552;0.114189523877458;3;2.8475861140202e-09;9.49195371340066e-10;0.510589179377693;0.675958606220271;3;3.44123025071477e-06;1.14707675023826e-06;3.02797344326301;0.0333569045122833;3;8.70720900288019e-06;2.90240300096006e-06;1.01399769100251;0.390196751805599;3;2.44131234609847e-05;8.13770782032822e-06;1.4483190840845;0.233828642610303;3;4.63186401912638e-05;1.54395467304213e-05;1.09895750917725;0.35366247355564;3;0.00146205083620425;0.00048735027873475;0.803889999890863;0.494818326709744;3;0.00268431390146665;0.000894771300488885;0.934925674532075;0.427123107279518;3;8.96010305006707e-06;2.98670101668902e-06;0.422807285624665;0.73708260055993;3;1.43612305264809e-05;4.78707684216031e-06;3.51940564362935;0.0181147298783576;3;0.0118380941443546;0.00394603138145154;3.28177491670298;0.0243310842699571;3;1.27169971698741e-05;4.23899905662469e-06;2.49673053703857;0.0645674108582704;3;8.6574045660128e-07;2.88580152200427e-07;0.498812524305382;0.684011432187639;3;2.50639805725047e-08;8.35466019083489e-09;2.20019082307854;0.09324755602182
Treatment:Time;6;0.00321329381369132;0.000535548968948553;2.93550992165157;0.0114451954420568;6;0.000129483745038811;2.15806241731352e-05;1.33510780364821;0.24951194448252;6;7.68408311355124e-09;1.28068051892521e-09;0.688900973336866;0.659057695773687;6;1.64241473828248e-06;2.73735789713746e-07;0.722588703460069;0.632428594711345;6;1.91713393702997e-05;3.19522322838328e-06;1.11629879611705;0.358934462883403;6;4.66416087900922e-05;7.77360146501537e-06;1.3835167841397;0.22945215861192;6;0.000119052754093582;1.98421256822637e-05;1.41232468784836;0.218179322723333;6;0.0062707650858939;0.00104512751431565;1.72395009099076;0.124003060240955;6;0.00548959623421489;0.000914932705702482;0.955991856872231;0.459469738047624;6;4.48263373631317e-05;7.47105622718861e-06;1.0576274580268;0.393741304792144;6;1.51440807350271e-05;2.52401345583786e-06;1.85562661598376;0.0968001152220268;6;0.012550029540163;0.00209167159002717;1.73956937859079;0.120441724880396;6;1.16013480980498e-05;1.93355801634163e-06;1.1388474684823;0.346179938175254;6;1.04705515662765e-06;1.74509192771275e-07;0.301640186606725;0.934594348567385;6;1.20698089731878e-08;2.01163482886463e-09;0.529761880047313;0.784389954612713
Labeling:Treatment:Time;6;0.00278663649932837;0.000464439416554728;2.54573642066603;0.0250834646760589;6;0.000116548119653925;1.94246866089875e-05;1.2017284795388;0.312433685962225;6;5.90240599308675e-09;9.83734332181124e-10;0.529168304608252;0.784843834384451;6;3.7862345176909e-06;6.31039086281817e-07;1.66577310064511;0.138135313875618;6;7.53668953284974e-06;1.25611492214162e-06;0.438842445471593;0.851108658375566;6;4.93404331364855e-05;8.22340552274758e-06;1.46357124361352;0.199303858130153;6;6.43989489275277e-05;1.07331581545879e-05;0.763965740518187;0.600077060199613;6;0.00721143564252977;0.00120190594042163;1.98255794338069;0.0759498260604494;6;0.00551942069846482;0.000919903449744136;0.961185671452035;0.455949278035964;6;5.34097302940263e-05;8.90162171567105e-06;1.2601430455308;0.283456117593812;6;1.53804754221303e-05;2.56341257035505e-06;1.88459240670695;0.0916154930245973;6;0.0228032414237132;0.00380054023728554;3.16077507119472;0.00724932339715068;6;4.70682113566963e-05;7.84470189278272e-06;4.62045556227851;0.000376571394825128;6;1.22482832822431e-06;2.04138054704051e-07;0.352853852204626;0.906578792000447;6;9.15357863161739e-09;1.5255964386029e-09;0.401764189956836;0.876153994969723
Residuals;93;0.0169667469848624;0.000182438139622176;NA;NA;93;0.0015032479344495;1.61639562844032e-05;NA;NA;93;1.72888837249187e-07;1.85901975536761e-09;NA;NA;93;3.52308696793586e-05;3.78826555692028e-07;NA;NA;93;0.000266197331102815;2.86233689357866e-06;NA;NA;93;0.000522541500424204;5.61872581101294e-06;NA;NA;93;0.00130658176857463;1.40492663287595e-05;NA;NA;93;0.0563803206016805;0.000606240006469683;NA;NA;93;0.0890057180075991;0.000957050731264507;NA;NA;93;0.000656949877629723;7.06397717881423e-06;NA;NA;93;0.000126498105476072;1.36019468253841e-06;NA;NA;93;0.111823914738089;0.0012024076853558;NA;NA;93;0.000157897260604541;1.69782000650044e-06;NA;NA;93;5.38036894562997e-05;5.78534295229029e-07;NA;NA;93;3.53143640814062e-07;3.79724344961357e-09;NA;NA
