"metabolite";"derivative";"isotopologue";"sample";"area"
"96";"Serine";"AccQ";2;"018_A1.cdf";34135.9555555556
"97";"Serine";"AccQ";3;"018_A1.cdf";2809.18518518519
"98";"Threonine";"AccQ";0;"018_A1.cdf";2205287.6962963
"99";"Threonine";"AccQ";1;"018_A1.cdf";379476.059259259
"100";"Threonine";"AccQ";2;"018_A1.cdf";60446.6814814815
"101";"Threonine";"AccQ";3;"018_A1.cdf";6906.05185185185
"102";"Threonine";"AccQ";4;"018_A1.cdf";0
"103";"Tryptophan";"AccQ";0;"018_A1.cdf";1480928.82962963
"104";"Tryptophan";"AccQ";1;"018_A1.cdf";340899.422222222
"105";"Tryptophan";"AccQ";2;"018_A1.cdf";58114.2148148148
"106";"Tryptophan";"AccQ";3;"018_A1.cdf";6995.62962962963
"107";"Tryptophan";"AccQ";4;"018_A1.cdf";0
"108";"Tryptophan";"AccQ";5;"018_A1.cdf";0
"109";"Tryptophan";"AccQ";6;"018_A1.cdf";0
"110";"Tryptophan";"AccQ";7;"018_A1.cdf";0
"111";"Tryptophan";"AccQ";8;"018_A1.cdf";0
"112";"Tryptophan";"AccQ";9;"018_A1.cdf";0
"113";"Tryptophan";"AccQ";10;"018_A1.cdf";0
"114";"Tryptophan";"AccQ";11;"018_A1.cdf";0
"115";"Tyrosine";"AccQ";0;"018_A1.cdf";341503.414814815
"116";"Tyrosine";"AccQ";1;"018_A1.cdf";88023.3555555556
"117";"Tyrosine";"AccQ";2;"018_A1.cdf";13921.1111111111
"118";"Tyrosine";"AccQ";3;"018_A1.cdf";2688.82962962963
"119";"Tyrosine";"AccQ";4;"018_A1.cdf";0
"120";"Tyrosine";"AccQ";5;"018_A1.cdf";0
"121";"Tyrosine";"AccQ";6;"018_A1.cdf";0
"122";"Tyrosine";"AccQ";7;"018_A1.cdf";0
"123";"Tyrosine";"AccQ";8;"018_A1.cdf";0
"124";"Tyrosine";"AccQ";9;"018_A1.cdf";0
"125";"Valine";"AccQ";0;"018_A1.cdf";3383310.72592593
