Compound;Sample order;Sample;Time;Treatment;Labeling;Relative_abundance;Unlabeled ;Labeled
Lysine;101;78;60min;Fe;L;389533;0.969746535;0.030253465
Lysine;102;79;60min;Fe;L;414345;0.946132662;0.053867338
Lysine;103;80;60min;Fe;L;377705;0.927266751;0.072733249
Lysine;105;81;60min;P;U;1005454;0.969541155;0.030458845
Lysine;106;82;60min;P;U;1185278;0.988141452;0.011858548
Lysine;107;83;60min;P;U;1119134;0.97477457;0.02522543
Lysine;108;84;60min;P;U;898471;0.967047101;0.0329529
Lysine;109;85;60min;P;U;846269;0.965178986;0.034821014
Lysine;110;86;60min;P;L;1213814;0.981324625;0.018675375
Lysine;111;87;60min;P;L;1837664;0.961412301;0.038587699
Lysine;112;88;60min;P;L;1228801;0.987562642;0.012437358
Lysine;113;89;60min;P;L;1509968;0.971441824;0.028558176
Lysine;114;90;60min;P;L;1048274;0.974198397;0.025801604
Lysine;116;91;120min;C;U;662261;0.972347649;0.027652351
Lysine;117;92;120min;C;U;429600;0.967557853;0.032442147
Lysine;118;93;120min;C;U;867676;0.961001691;0.038998309
Lysine;119;94;120min;C;U;607907;0.962927;0.037073
Lysine;120;95;120min;C;U;1102236;0.991305292;0.008694708
Lysine;121;96;120min;C;L;609374;0.943717824;0.056282176
Lysine;122;97;120min;C;L;561141;0.964523188;0.035476812
Lysine;123;98;120min;C;L;665579;0.970758381;0.029241619
Lysine;124;99;120min;C;L;604220;0.952767585;0.047232416
Lysine;125;100;120min;C;L;387852;0.948559951;0.051440049
Lysine;127;101;120min;Fe;U;297554;0.95295345;0.04704655
Lysine;128;102;120min;Fe;U;335437;0.947117333;0.052882667
Lysine;129;103;120min;Fe;U;415927;0.953726449;0.046273551
Lysine;130;104;120min;Fe;U;407876;0.97226873;0.027731271
Lysine;131;105;120min;Fe;U;240438;0.935811506;0.064188494
Lysine;132;106;120min;Fe;L;314617;0.943810778;0.056189222
Lysine;133;107;120min;Fe;L;451315;0.939350029;0.060649971
Lysine;134;108;120min;Fe;L;371222;0.975283247;0.024716753
Lysine;135;109;120min;Fe;L;261884;0.967733162;0.032266838
Lysine;137;110;120min;Fe;L;301662;0.932634623;0.067365377
Lysine;138;111;120min;P;U;863243;0.982685497;0.017314503
Lysine;139;112;120min;P;U;1233095;0.976610331;0.023389669
Lysine;140;113;120min;P;U;797143;0.966119352;0.033880648
Lysine;141;114;120min;P;U;1565332;0.972476845;0.027523155
Lysine;142;115;120min;P;U;1167000;0.978687527;0.021312473
Lysine;143;116;120min;P;L;1483896;0.970215733;0.029784267
Lysine;144;117;120min;P;L;1639753;0.966834089;0.033165912
Lysine;145;118;120min;P;L;327830;0.939600644;0.060399356
Lysine;147;119;120min;P;L;1042750;0.968246421;0.031753579
Lysine;148;120;120min;P;L;1131270;0.983888967;0.016111033
Methionine;18;1;15min;C;U;4664622;0.949570242;0.050429758
Methionine;19;2;15min;C;U;3637214;0.947106003;0.052893997
Methionine;20;3;15min;C;U;3962031;0.951758022;0.048241979
Methionine;21;4;15min;C;U;3332004;0.936548211;0.063451789
Methionine;22;5;15min;C;U;3347591;0.945182842;0.054817158
Methionine;23;6;15min;C;L;5000574;0.933213266;0.066786734
Methionine;24;7;15min;C;L;2543422;0.958352754;0.041647246
Methionine;25;8;15min;C;L;3026350;0.938802985;0.061197015
Methionine;26;9;15min;C;L;2593904;0.950261967;0.049738033
Methionine;27;10;15min;C;L;3601591;0.936326735;0.063673265
Methionine;29;11;15min;Fe;U;2320175;0.952724756;0.047275244
Methionine;30;12;15min;Fe;U;406496;0.949012432;0.050987568
Methionine;31;13;15min;Fe;U;2693767;0.934779449;0.065220551
Methionine;32;14;15min;Fe;U;3099100;0.946623146;0.053376854
Methionine;33;15;15min;Fe;U;2716868;0.954610252;0.045389748
Methionine;34;17;15min;Fe;L;2404357;0.947167972;0.052832028
Methionine;35;18;15min;Fe;L;2253892;0.96153729;0.03846271
Methionine;36;19;15min;Fe;L;1931192;0.952245323;0.047754678
Methionine;37;20;15min;Fe;L;2876764;0.951349697;0.048650303
Methionine;39;21;15min;P;U;8612064;0.962607952;0.037392048
Methionine;40;22;15min;P;U;10160990;0.963902994;0.036097006
Methionine;41;23;15min;P;U;4191169;0.930329891;0.069670109
Methionine;42;24;15min;P;U;4999016;0.939180768;0.060819232
Methionine;43;25;15min;P;U;6187911;0.946678098;0.053321902
Methionine;44;26;15min;P;L;5072073;0.948619343;0.051380657
Methionine;45;27;15min;P;L;6018225;0.931811113;0.068188887
Methionine;46;28;15min;P;L;4620704;0.94294404;0.05705596
Methionine;47;29;15min;P;L;7082094;0.945448279;0.054551722
Methionine;48;30;15min;P;L;6526384;0.942128501;0.057871499
Methionine;50;31;30min;C;U;3880649;0.939868453;0.060131547
Methionine;51;32;30min;C;U;3121010;0.945369614;0.054630387
Methionine;52;33;30min;C;U;2851614;0.941522633;0.058477367
Methionine;53;34;30min;C;U;2884868;0.934942446;0.065057554
Methionine;54;35;30min;C;U;4090454;0.947558303;0.052441697
Methionine;55;36;30min;C;L;2527533;0.940050359;0.059949641
Methionine;56;37;30min;C;L;3186400;0.934225918;0.065774082
Methionine;57;38;30min;C;L;1807137;0.960935631;0.039064369
Methionine;58;39;30min;C;L;2124696;0.953278141;0.04672186
Methionine;59;40;30min;C;L;2648699;0.944963466;0.055036534
Methionine;61;41;30min;Fe;U;2658499;0.946769852;0.053230148
Methionine;62;42;30min;Fe;U;3531312;0.949062101;0.050937899
Methionine;63;43;30min;Fe;U;2878628;0.949805562;0.050194438
Methionine;64;44;30min;Fe;U;2643028;0.929982441;0.070017559
Methionine;65;45;30min;Fe;U;671855;0.948641574;0.051358426
Methionine;66;46;30min;Fe;L;1907634;0.949292416;0.050707584
Methionine;67;47;30min;Fe;L;1642655;0.959324628;0.040675372
Methionine;68;48;30min;Fe;L;1578354;0.959685081;0.040314919
Methionine;69;49;30min;Fe;L;2451444;0.942032526;0.057967474
Methionine;70;50;30min;Fe;L;2099905;0.960615229;0.039384771
Methionine;72;51;30min;P;U;6265127;0.943980173;0.056019827
Methionine;73;52;30min;P;U;4235624;0.939744787;0.060255213
Methionine;74;53;30min;P;U;4688313;0.944782621;0.055217379
Methionine;75;54;30min;P;U;7097244;0.959430723;0.040569277
Methionine;76;55;30min;P;U;7341110;0.966811033;0.033188967
Methionine;77;56;30min;P;L;5511827;0.936375217;0.063624783
Methionine;78;57;30min;P;L;4949193;0.950813428;0.049186572
Methionine;79;58;30min;P;L;4003497;0.942781488;0.057218512
Methionine;80;59;30min;P;L;6165049;0.942990592;0.057009408
Methionine;81;60;30min;P;L;4259847;0.934961128;0.065038872
Methionine;83;61;60min;C;U;1729899;0.955964143;0.044035857
Methionine;84;62;60min;C;U;2745454;0.944051571;0.055948429
Methionine;85;63;60min;C;U;2638274;0.944681612;0.055318389
Methionine;86;64;60min;C;U;2799241;0.9300005;0.0699995
Methionine;87;65;60min;C;U;2046750;0.963156956;0.036843044
Methionine;88;66;60min;C;L;3066165;0.948672863;0.051327137
Methionine;89;67;60min;C;L;1835539;0.961220814;0.038779186
Methionine;90;68;60min;C;L;2094690;0.975817915;0.024182085
Methionine;91;69;60min;C;L;2567258;0.952494804;0.047505196
Methionine;92;70;60min;C;L;2018369;0.95115549;0.04884451
Methionine;94;71;60min;Fe;U;2492809;0.944693637;0.055306363
Methionine;95;72;60min;Fe;U;3285243;0.942789846;0.057210154
Methionine;96;73;60min;Fe;U;3110704;0.922943852;0.077056148
Methionine;97;74;60min;Fe;U;2473227;0.956459738;0.043540262
Methionine;98;75;60min;Fe;U;3087473;0.938788007;0.061211994
Methionine;99;76;60min;Fe;L;2003703;0.962590639;0.037409361
Methionine;100;77;60min;Fe;L;2319853;0.941290497;0.058709503
Methionine;101;78;60min;Fe;L;1743834;0.945308132;0.054691868
Methionine;102;79;60min;Fe;L;2487582;0.937623948;0.062376052
Methionine;103;80;60min;Fe;L;2253866;0.923853907;0.076146093
Methionine;105;81;60min;P;U;4375145;0.938376669;0.061623331
Methionine;106;82;60min;P;U;5532539;0.947020663;0.052979337
Methionine;107;83;60min;P;U;4427510;0.944929388;0.055070612
Methionine;108;84;60min;P;U;4534127;0.935310011;0.064689989
Methionine;109;85;60min;P;U;4026773;0.941620689;0.058379311
Methionine;110;86;60min;P;L;7912247;0.962751011;0.037248989
Methionine;111;87;60min;P;L;8580724;0.964070193;0.035929807
Methionine;112;88;60min;P;L;4882180;0.94711684;0.05288316
Methionine;113;89;60min;P;L;6458542;0.948723743;0.051276257
Methionine;114;90;60min;P;L;3402283;0.945426796;0.054573204
Methionine;116;91;120min;C;U;3341132;0.934968073;0.065031927
Methionine;117;92;120min;C;U;2756638;0.949274853;0.050725147
Methionine;118;93;120min;C;U;3101026;0.954943619;0.045056381
Methionine;119;94;120min;C;U;3925231;0.945181124;0.054818876
Methionine;120;95;120min;C;U;3770650;0.94211428;0.05788572
Methionine;121;96;120min;C;L;2820568;0.94156971;0.05843029
Methionine;122;97;120min;C;L;1725314;0.979449652;0.020550348
Methionine;123;98;120min;C;L;1709025;0.952225707;0.047774293
Methionine;124;99;120min;C;L;2280011;0.941950602;0.058049399
Methionine;125;100;120min;C;L;1689335;0.963507973;0.036492027
Methionine;127;101;120min;Fe;U;1511476;0.970045664;0.029954336
Methionine;128;102;120min;Fe;U;1568534;0.956669587;0.043330413
Methionine;129;103;120min;Fe;U;1780038;0.935419656;0.064580345
Methionine;130;104;120min;Fe;U;1730722;0.960515244;0.039484756
Methionine;131;105;120min;Fe;U;1644409;0.934299786;0.065700214
Methionine;132;106;120min;Fe;L;1526343;0.951444707;0.048555293
Methionine;133;107;120min;Fe;L;1305141;0.950584893;0.049415107
Methionine;134;108;120min;Fe;L;1199042;0.973694008;0.026305992
Methionine;135;109;120min;Fe;L;661849;0.958801558;0.041198442
Methionine;137;110;120min;Fe;L;1053273;0.940761484;0.059238516
Methionine;138;111;120min;P;U;4193491;0.947077697;0.052922304
Methionine;139;112;120min;P;U;5823308;0.935976357;0.064023643
Methionine;140;113;120min;P;U;2774805;0.947673844;0.052326156
Methionine;141;114;120min;P;U;6299750;0.946143901;0.053856099
Methionine;142;115;120min;P;U;4108297;0.952221282;0.047778718
Methionine;143;116;120min;P;L;5522410;0.9426139;0.0573861
Methionine;144;117;120min;P;L;6131840;0.934422955;0.065577046
Methionine;145;118;120min;P;L;1303085;0.990430809;0.009569191
Methionine;147;119;120min;P;L;3725280;0.9341554;0.0658446
Methionine;148;120;120min;P;L;3842746;0.938946174;0.061053826
Norvaline;18;1;15min;C;U;4320081;0.994194245;0.005805755
Norvaline;19;2;15min;C;U;3387461;0.935110928;0.064889072
Norvaline;20;3;15min;C;U;3324830;0.938101999;0.061898001
Norvaline;21;4;15min;C;U;3299730;0.944785438;0.055214562
Norvaline;22;5;15min;C;U;3286296;0.92619447;0.07380553
Norvaline;23;6;15min;C;L;3867679;0.982081207;0.017918793
Norvaline;24;7;15min;C;L;3257341;0.948476545;0.051523456
Norvaline;25;8;15min;C;L;3326496;0.940153025;0.059846975
Norvaline;26;9;15min;C;L;3363971;0.929582908;0.070417092
Norvaline;27;10;15min;C;L;3221191;0.920872614;0.079127386
Norvaline;29;11;15min;Fe;U;2813805;0.944566642;0.055433358
Norvaline;30;12;15min;Fe;U;1327349;0.987405425;0.012594575
Norvaline;31;13;15min;Fe;U;3348922;0.931834739;0.068165261
Norvaline;32;14;15min;Fe;U;3243268;0.933313958;0.066686042
Norvaline;33;15;15min;Fe;U;3332685;0.929061489;0.070938511
Norvaline;34;17;15min;Fe;L;2828368;0.954504828;0.045495172
Norvaline;35;18;15min;Fe;L;3091957;0.952609907;0.047390093
Norvaline;36;19;15min;Fe;L;3158151;0.9363668;0.0636332
Norvaline;37;20;15min;Fe;L;3135303;0.929445803;0.070554197
Norvaline;39;21;15min;P;U;4675850;0.985022969;0.014977031
Norvaline;40;22;15min;P;U;3954386;0.97760512;0.02239488
Norvaline;41;23;15min;P;U;3356915;0.932438689;0.067561311
Norvaline;42;24;15min;P;U;3320334;0.935672653;0.064327348
Norvaline;43;25;15min;P;U;4575625;0.981567577;0.018432423
Norvaline;44;26;15min;P;L;3949451;0.98170258;0.01829742
Norvaline;45;27;15min;P;L;4177801;0.97899197;0.02100803
Norvaline;46;28;15min;P;L;3459145;0.942562357;0.057437643
Norvaline;47;29;15min;P;L;3865213;0.975023746;0.024976255
Norvaline;48;30;15min;P;L;4049271;0.967071896;0.032928105
Norvaline;50;31;30min;C;U;3216999;0.931374647;0.068625353
Norvaline;51;32;30min;C;U;3391002;0.940882956;0.059117044
Norvaline;52;33;30min;C;U;3223249;0.934768616;0.065231384
Norvaline;53;34;30min;C;U;3244245;0.935689558;0.064310442
Norvaline;54;35;30min;C;U;3408292;0.937721686;0.062278314
Norvaline;55;36;30min;C;L;3149885;0.927267432;0.072732568
Norvaline;56;37;30min;C;L;3332085;0.946957073;0.053042927
Norvaline;57;38;30min;C;L;2995541;0.932123067;0.067876933
Norvaline;58;39;30min;C;L;3094977;0.941314244;0.058685757
Norvaline;59;40;30min;C;L;3189768;0.940442286;0.059557714
Norvaline;61;41;30min;Fe;U;3238856;0.946552301;0.053447699
Norvaline;62;42;30min;Fe;U;3246463;0.94311678;0.05688322
Norvaline;63;43;30min;Fe;U;3346978;0.94357984;0.05642016
Norvaline;64;44;30min;Fe;U;3104573;0.934587586;0.065412414
Norvaline;65;45;30min;Fe;U;1908189;0.949098002;0.050901998
Norvaline;66;46;30min;Fe;L;3027905;0.934517903;0.065482097
Norvaline;67;47;30min;Fe;L;3207519;0.936816222;0.063183778
Norvaline;68;48;30min;Fe;L;3226933;0.936909812;0.063090188
Norvaline;69;49;30min;Fe;L;3010935;0.938213256;0.061786745
Norvaline;70;50;30min;Fe;L;3189437;0.941804377;0.058195623
Norvaline;72;51;30min;P;U;3180396;0.924439047;0.075560953
Norvaline;73;52;30min;P;U;3840308;0.978367328;0.021632672
Norvaline;74;53;30min;P;U;3204947;0.933253068;0.066746932
Norvaline;75;54;30min;P;U;3622277;0.926154671;0.073845329
Norvaline;76;55;30min;P;U;4651388;0.975280696;0.024719304
Norvaline;77;56;30min;P;L;3255248;0.936923925;0.063076075
Norvaline;78;57;30min;P;L;3794960;0.976774409;0.023225591
Norvaline;79;58;30min;P;L;3173076;0.953470964;0.046529036
Norvaline;80;59;30min;P;L;3918525;0.974074025;0.025925975
Norvaline;81;60;30min;P;L;3257702;0.943296026;0.056703974
Norvaline;83;61;60min;C;U;2683139;0.946088512;0.053911488
Norvaline;84;62;60min;C;U;3308926;0.946466548;0.053533452
Norvaline;85;63;60min;C;U;3186495;0.939908657;0.060091344
Norvaline;86;64;60min;C;U;3255083;0.946411919;0.053588081
Norvaline;87;65;60min;C;U;3299918;0.939902499;0.060097501
Norvaline;88;66;60min;C;L;3294359;0.950399232;0.049600768
Norvaline;89;67;60min;C;L;2997807;0.937481978;0.062518022
Norvaline;90;68;60min;C;L;3186940;0.931005898;0.068994102
Norvaline;91;69;60min;C;L;2824021;0.933412838;0.066587162
Norvaline;92;70;60min;C;L;2995988;0.945081501;0.054918499
Norvaline;94;71;60min;Fe;U;3260546;0.942042578;0.057957422
Norvaline;95;72;60min;Fe;U;3005115;0.925855816;0.074144184
Norvaline;96;73;60min;Fe;U;3365273;0.935958243;0.064041757
Norvaline;97;74;60min;Fe;U;3182055;0.942948759;0.057051241
Norvaline;98;75;60min;Fe;U;3286695;0.936330239;0.063669761
Norvaline;99;76;60min;Fe;L;3018346;0.935748847;0.064251153
Norvaline;100;77;60min;Fe;L;2796526;0.945653761;0.05434624
Norvaline;101;78;60min;Fe;L;3037764;0.946696433;0.053303567
Norvaline;102;79;60min;Fe;L;3013974;0.953844672;0.046155328
Norvaline;103;80;60min;Fe;L;2997379;0.941167686;0.058832314
Norvaline;105;81;60min;P;U;3225758;0.929618391;0.070381609
Norvaline;106;82;60min;P;U;3426648;0.939723567;0.060276433
Norvaline;107;83;60min;P;U;3220294;0.928199213;0.071800787
Norvaline;108;84;60min;P;U;3233560;0.923292692;0.076707308
Norvaline;109;85;60min;P;U;3411105;0.937905538;0.062094463
Norvaline;110;86;60min;P;L;4091953;0.987940356;0.012059644
Norvaline;111;87;60min;P;L;3990264;0.976883547;0.023116453
Norvaline;112;88;60min;P;L;2992921;0.928855481;0.07114452
Norvaline;113;89;60min;P;L;4069630;0.973823973;0.026176027
Norvaline;114;90;60min;P;L;2841005;0.932936318;0.067063682
Norvaline;116;91;120min;C;U;3323352;0.930631316;0.069368684
Norvaline;117;92;120min;C;U;3381459;0.940180429;0.059819571
Norvaline;118;93;120min;C;U;3327816;0.931514873;0.068485128
Norvaline;119;94;120min;C;U;3170219;0.929857917;0.070142083
Norvaline;120;95;120min;C;U;4118179;0.979794436;0.020205564
Norvaline;121;96;120min;C;L;3062071;0.938906836;0.061093164
Norvaline;122;97;120min;C;L;2936822;0.931228252;0.068771748
Norvaline;123;98;120min;C;L;3040550;0.947689004;0.052310996
Norvaline;124;99;120min;C;L;3049470;0.942212553;0.057787447
Norvaline;125;100;120min;C;L;2956919;0.936546744;0.063453257
Norvaline;127;101;120min;Fe;U;3360734;0.943423697;0.056576303
Norvaline;128;102;120min;Fe;U;3176086;0.934392568;0.065607433
Norvaline;129;103;120min;Fe;U;3373201;0.953568817;0.046431183
Norvaline;130;104;120min;Fe;U;3070219;0.950625738;0.049374262
Norvaline;131;105;120min;Fe;U;2670918;0.944895038;0.055104962
Norvaline;132;106;120min;Fe;L;3083047;0.944563171;0.055436829
Norvaline;133;107;120min;Fe;L;2892061;0.933649564;0.066350436
Norvaline;134;108;120min;Fe;L;2785086;0.939527378;0.060472622
Norvaline;135;109;120min;Fe;L;2906666;0.939625212;0.060374788
Norvaline;137;110;120min;Fe;L;3068203;0.945343502;0.054656498
Norvaline;138;111;120min;P;U;3476720;0.956343566;0.043656434
Norvaline;139;112;120min;P;U;4616902;0.991374629;0.008625371
Norvaline;140;113;120min;P;U;3122802;0.922260214;0.077739786
Norvaline;141;114;120min;P;U;4792929;0.981976358;0.018023642
Norvaline;142;115;120min;P;U;3296637;0.938594914;0.061405086
Norvaline;143;116;120min;P;L;4194491;0.98153154;0.01846846
Norvaline;144;117;120min;P;L;4127815;0.981319897;0.018680103
Norvaline;145;118;120min;P;L;1529888;0.973845576;0.026154424
Norvaline;147;119;120min;P;L;2984887;0.938595808;0.061404193
Norvaline;148;120;120min;P;L;2992976;0.933053546;0.066946454
Phenylalanine;18;1;15min;C;U;24024710;0.989582699;0.010417301
Phenylalanine;19;2;15min;C;U;19925630;0.985098641;0.014901359
Phenylalanine;20;3;15min;C;U;22755450;0.99090022;0.00909978
Phenylalanine;21;4;15min;C;U;15249160;0.984683702;0.015316298
Phenylalanine;22;5;15min;C;U;23205130;0.991204253;0.008795747
Phenylalanine;23;6;15min;C;L;19857750;0.986567819;0.013432181
Phenylalanine;24;7;15min;C;L;14132330;0.981020023;0.018979977
Phenylalanine;25;8;15min;C;L;19055540;0.988209445;0.011790555
Phenylalanine;26;9;15min;C;L;13359610;0.980108836;0.019891164
Phenylalanine;27;10;15min;C;L;17149910;0.983709546;0.016290454
Phenylalanine;29;11;15min;Fe;U;8842769;0.962643278;0.037356722
Phenylalanine;30;12;15min;Fe;U;2113076;0.976621717;0.023378283
Phenylalanine;31;13;15min;Fe;U;11016270;0.967148826;0.032851174
Phenylalanine;32;14;15min;Fe;U;12576960;0.969720656;0.030279344
Phenylalanine;33;15;15min;Fe;U;10399210;0.9653923;0.0346077
Phenylalanine;34;17;15min;Fe;L;12106040;0.970284689;0.029715311
Phenylalanine;35;18;15min;Fe;L;13414400;0.97414633;0.025853671
Phenylalanine;36;19;15min;Fe;L;9714281;0.967944427;0.032055573
Phenylalanine;37;20;15min;Fe;L;12913800;0.980043767;0.019956233
Phenylalanine;39;21;15min;P;U;30985320;0.992280175;0.007719825
Phenylalanine;40;22;15min;P;U;42024500;0.979808432;0.020191568
Phenylalanine;41;23;15min;P;U;37519160;0.987081944;0.012918057
Phenylalanine;42;24;15min;P;U;27239610;0.990011909;0.009988091
Phenylalanine;43;25;15min;P;U;32875090;0.992867372;0.007132628
Phenylalanine;44;26;15min;P;L;41814840;0.981807362;0.018192638
Phenylalanine;45;27;15min;P;L;38975440;0.98493766;0.01506234
Phenylalanine;46;28;15min;P;L;23716690;0.990455636;0.009544364
Phenylalanine;47;29;15min;P;L;37084880;0.99098368;0.00901632
Phenylalanine;48;30;15min;P;L;41086990;0.983386257;0.016613743
Phenylalanine;50;31;30min;C;U;18771470;0.990188276;0.009811724
Phenylalanine;51;32;30min;C;U;16500700;0.984655104;0.015344897
Phenylalanine;52;33;30min;C;U;12105490;0.980054138;0.019945862
Phenylalanine;53;34;30min;C;U;11708970;0.977989009;0.022010991
Phenylalanine;54;35;30min;C;U;15077320;0.984870227;0.015129773
Phenylalanine;55;36;30min;C;L;14620180;0.974270385;0.025729615
Phenylalanine;56;37;30min;C;L;15871630;0.986679431;0.01332057
Phenylalanine;57;38;30min;C;L;8402790;0.963873268;0.036126732
Phenylalanine;58;39;30min;C;L;9947120;0.963883874;0.036116126
Phenylalanine;59;40;30min;C;L;11753340;0.969834714;0.030165287
Phenylalanine;61;41;30min;Fe;U;8258746;0.956875629;0.043124371
Phenylalanine;62;42;30min;Fe;U;15834890;0.98168144;0.01831856
Phenylalanine;63;43;30min;Fe;U;14691700;0.984126387;0.015873613
Phenylalanine;64;44;30min;Fe;U;13679760;0.974194181;0.025805819
Phenylalanine;65;45;30min;Fe;U;2440756;0.939887213;0.060112787
Phenylalanine;66;46;30min;Fe;L;10252480;0.962507787;0.037492213
Phenylalanine;67;47;30min;Fe;L;9516095;0.965414373;0.034585627
Phenylalanine;68;48;30min;Fe;L;6903269;0.956064239;0.043935761
Phenylalanine;69;49;30min;Fe;L;13720250;0.981153891;0.018846109
Phenylalanine;70;50;30min;Fe;L;13909030;0.982552925;0.017447075
Phenylalanine;72;51;30min;P;U;33546050;0.991109334;0.008890666
Phenylalanine;73;52;30min;P;U;23396300;0.989655555;0.010344445
Phenylalanine;74;53;30min;P;U;25446370;0.989462525;0.010537476
Phenylalanine;75;54;30min;P;U;32525000;0.991163773;0.008836227
Phenylalanine;76;55;30min;P;U;37457070;0.990576779;0.009423221
Phenylalanine;77;56;30min;P;L;23290950;0.989274435;0.010725565
Phenylalanine;78;57;30min;P;L;42478760;0.981541543;0.018458457
Phenylalanine;79;58;30min;P;L;17831550;0.983928744;0.016071256
Phenylalanine;80;59;30min;P;L;35243650;0.989851201;0.010148799
Phenylalanine;81;60;30min;P;L;21485500;0.991504029;0.008495971
Phenylalanine;83;61;60min;C;U;8275180;0.960664083;0.039335918
Phenylalanine;84;62;60min;C;U;12053260;0.970126341;0.029873659
Phenylalanine;85;63;60min;C;U;10841920;0.96681885;0.033181151
Phenylalanine;86;64;60min;C;U;14615570;0.98179701;0.01820299
Phenylalanine;87;65;60min;C;U;9725545;0.964622427;0.035377573
Phenylalanine;88;66;60min;C;L;8827695;0.962107216;0.037892784
Phenylalanine;89;67;60min;C;L;8639612;0.9627846;0.0372154
Phenylalanine;90;68;60min;C;L;13044550;0.976271948;0.023728052
Phenylalanine;91;69;60min;C;L;13938450;0.983909706;0.016090294
Phenylalanine;92;70;60min;C;L;10778870;0.966851818;0.033148182
Phenylalanine;94;71;60min;Fe;U;10693900;0.967940571;0.032059429
Phenylalanine;95;72;60min;Fe;U;10696300;0.966115167;0.033884833
Phenylalanine;96;73;60min;Fe;U;11345110;0.966288256;0.033711744
Phenylalanine;97;74;60min;Fe;U;8277475;0.963980274;0.036019726
Phenylalanine;98;75;60min;Fe;U;11954840;0.97571246;0.02428754
Phenylalanine;99;76;60min;Fe;L;10152880;0.969525258;0.030474742
Phenylalanine;100;77;60min;Fe;L;11179700;0.96795143;0.03204857
Phenylalanine;101;78;60min;Fe;L;13140460;0.976197271;0.023802729
Phenylalanine;102;79;60min;Fe;L;14408830;0.982399113;0.017600887
Phenylalanine;103;80;60min;Fe;L;13056080;0.977924639;0.022075361
Phenylalanine;105;81;60min;P;U;18053010;0.989863354;0.010136646
Phenylalanine;106;82;60min;P;U;33497550;0.990325101;0.009674899
Phenylalanine;107;83;60min;P;U;23781610;0.991255209;0.008744791
Phenylalanine;108;84;60min;P;U;16793110;0.981406878;0.018593122
Phenylalanine;109;85;60min;P;U;17004380;0.984351463;0.015648537
Phenylalanine;110;86;60min;P;L;36273680;0.991222564;0.008777436
Phenylalanine;111;87;60min;P;L;37237800;0.989834563;0.010165437
Phenylalanine;112;88;60min;P;L;28918070;0.990900087;0.009099913
Phenylalanine;113;89;60min;P;L;30688140;0.990266219;0.009733781
Phenylalanine;114;90;60min;P;L;39162800;0.986068426;0.013931574
Phenylalanine;116;91;120min;C;U;16521750;0.988873856;0.011126145
Phenylalanine;117;92;120min;C;U;9042773;0.960630896;0.039369104
Phenylalanine;118;93;120min;C;U;13974790;0.976284784;0.023715216
Phenylalanine;119;94;120min;C;U;19772710;0.986413109;0.013586892
Phenylalanine;120;95;120min;C;U;18580690;0.988820204;0.011179796
Phenylalanine;121;96;120min;C;L;16614120;0.983567626;0.016432374
Phenylalanine;122;97;120min;C;L;13103640;0.982124855;0.017875145
Phenylalanine;123;98;120min;C;L;10848480;0.966079881;0.033920119
Phenylalanine;124;99;120min;C;L;18337730;0.984439874;0.015560126
Phenylalanine;125;100;120min;C;L;11392760;0.972513645;0.027486355
Phenylalanine;127;101;120min;Fe;U;5820904;0.940923638;0.059076362
Phenylalanine;128;102;120min;Fe;U;6608552;0.938080764;0.061919236
Phenylalanine;129;103;120min;Fe;U;6899124;0.948414567;0.051585433
Phenylalanine;130;104;120min;Fe;U;5586341;0.940056827;0.059943173
Phenylalanine;131;105;120min;Fe;U;6699242;0.950324043;0.049675957
Phenylalanine;132;106;120min;Fe;L;6237691;0.942533683;0.057466317
Phenylalanine;133;107;120min;Fe;L;7943129;0.968318619;0.031681381
Phenylalanine;134;108;120min;Fe;L;8345112;0.958812404;0.041187596
Phenylalanine;135;109;120min;Fe;L;5594951;0.938620743;0.061379257
Phenylalanine;137;110;120min;Fe;L;6596379;0.941362264;0.058637736
Phenylalanine;138;111;120min;P;U;20270590;0.988453716;0.011546284
Phenylalanine;139;112;120min;P;U;19731190;0.988900277;0.011099723
Phenylalanine;140;113;120min;P;U;25512860;0.991024873;0.008975127
Phenylalanine;141;114;120min;P;U;31100850;0.991173104;0.008826897
Phenylalanine;142;115;120min;P;U;24150180;0.991105232;0.008894769
Phenylalanine;143;116;120min;P;L;33400450;0.991238891;0.008761109
Phenylalanine;144;117;120min;P;L;35933460;0.991964803;0.008035197
Phenylalanine;145;118;120min;P;L;7831241;0.961138142;0.038861858
Phenylalanine;147;119;120min;P;L;26443440;0.99099717;0.00900283
Phenylalanine;148;120;120min;P;L;25784910;0.992448893;0.007551107
Proline;18;1;15min;C;U;25442770;0.98135938;0.01864062
Proline;19;2;15min;C;U;11756040;0.978688422;0.021311578
Proline;20;3;15min;C;U;8512339;0.965035386;0.034964615
Proline;21;4;15min;C;U;5927294;0.954124758;0.045875242
Proline;22;5;15min;C;U;6767612;0.966347769;0.033652231
Proline;23;6;15min;C;L;16353080;0.987587824;0.012412176
Proline;24;7;15min;C;L;9945942;0.973805121;0.026194879
Proline;25;8;15min;C;L;6575263;0.959359344;0.040640657
Proline;26;9;15min;C;L;10445170;0.970576721;0.029423279
Proline;27;10;15min;C;L;11792220;0.975295774;0.024704226
Proline;29;11;15min;Fe;U;9580476;0.976099174;0.023900826
Proline;30;12;15min;Fe;U;1867531;0.944574272;0.055425728
Proline;31;13;15min;Fe;U;7477126;0.971182427;0.028817573
Proline;32;14;15min;Fe;U;7051708;0.960961828;0.039038172
