Compound;Time;Labeling;Treatment;N;mean;sd;se
76;Aspartic acid;120min;U;C;5;0.0203776958;0.0171655116933407;0.00767665020297547
77;Aspartic acid;120min;U;Fe;5;0.0122287524;0.00342678551797326;0.00153250507250001
78;Aspartic acid;120min;U;P;5;0.0187440726;0.00607726197277502;0.00271783417763988
79;Aspartic acid;15min;L;C;5;0.0184333932;0.00525090338775507;0.00234827538366086
80;Aspartic acid;15min;L;Fe;4;0.016522181;0.00340163754775804;0.00170081877387902
81;Aspartic acid;15min;L;P;5;0.0140033522;0.00430496794420118;0.00192524019283827
82;Aspartic acid;15min;U;C;5;0.0156808732;0.00643476457701933;0.00287771420268458
83;Aspartic acid;15min;U;Fe;5;0.0262156046;0.0159327941219486;0.00712536214563722
84;Aspartic acid;15min;U;P;5;0.015385982;0.00220490127933633;0.000986061828854459
85;Aspartic acid;30min;L;C;5;0.0228233086;0.00839180436349349;0.00375292900213016
86;Aspartic acid;30min;L;Fe;5;0.0226115718;0.00396221769878836;0.00177195762322871
87;Aspartic acid;30min;L;P;5;0.0196697026;0.00481690453854872;0.00215418519786444
88;Aspartic acid;30min;U;C;5;0.0132555996;0.0034028328678849;0.00152179312173224
89;Aspartic acid;30min;U;Fe;5;0.0213475772;0.0149694471419937;0.00669454027901758
90;Aspartic acid;30min;U;P;5;0.0157581948;0.00335191320750906;0.00149902115733392
91;Aspartic acid;60min;L;C;5;0.025793585;0.00660210871744097;0.00295255277740839
92;Aspartic acid;60min;L;Fe;5;0.0182840298;0.00273288206928916;0.00122218201628417
93;Aspartic acid;60min;L;P;5;0.0180450816;0.00306068106686352;0.00136877818459068
94;Aspartic acid;60min;U;C;5;0.0145579838;0.00356851301058896;0.00159588753405387
95;Aspartic acid;60min;U;Fe;5;0.0131135126;0.00361641239256342;0.00161730878888889
96;Aspartic acid;60min;U;P;5;0.0213462232;0.00573243243756568;0.00256362172136434
97;Citrulline;120min;L;C;5;0.067505627;0.0189573217754594;0.00847797203225286
98;Citrulline;120min;L;Fe;5;0.0851692352;0.0359187542581056;0.0160633552376468
99;Citrulline;120min;L;P;5;0.0615850936;0.0159498589444928;0.00713299376628378
100;Citrulline;120min;U;C;5;0.0646678982;0.0251838949937892;0.0112625802288659
101;Citrulline;120min;U;Fe;5;0.0535828342;0.0516341123997084;0.0230914770567226
102;Citrulline;120min;U;P;5;0.0474218534;0.00906240571371842;0.00405283104311138
103;Citrulline;15min;L;C;5;0.034020506;0.0129872902143234;0.00580809275254901
104;Citrulline;15min;L;Fe;4;0.026135961;0.0254614953614574;0.0127307476807287
105;Citrulline;15min;L;P;5;0.0422007944;0.00765513978103603;0.00342348258553188
106;Citrulline;15min;U;C;5;0.0330704402;0.0206063068492289;0.00921542057601906
107;Citrulline;15min;U;Fe;5;0.03265408;0.0377992832492666;0.0169043533692259
